"","doc_id","sentence_id","entity","entity_type"
"1","text1",2,"Cuomo","PERSON"
"2","text1",2,"New_Year_'s_Eve","EVENT"
"3","text1",2,"second","ORDINAL"
"4","text1",2,"New_York_'s","GPE"
"5","text1",4,"Cuomo","PERSON"
"6","text1",4,"New_Year_'s_Eve","EVENT"
"7","text1",4,"second","ORDINAL"
"8","text1",4,"New_York_'s","GPE"
"9","text1",5,"Cuomo","PERSON"
"10","text1",5,"New_Year_'s_Eve","EVENT"
"11","text1",5,"second","ORDINAL"
"12","text1",5,"New_York_'s","GPE"
"13","text1",6,"Cuomo","PERSON"
"14","text1",6,"Sol_Wachtler","PERSON"
"15","text1",6,"New_York_State","GPE"
"16","text1",6,"tonight","TIME"
"17","text1",6,"the_Governor_'s_Mansion","FAC"
"18","text1",8,"four_more_years","DATE"
"19","text1",9,"Cuomo","PERSON"
"20","text1",11,"the_last_four_years","DATE"
"21","text1",11,"the_four_years_ahead","DATE"
"22","text1",12,"Cuomo","PERSON"
"23","text1",12,"Stan_Lundine","PERSON"
"24","text1",13,"two","CARDINAL"
"25","text1",13,"Democrats","NORP"
"26","text1",13,"New_Year_'s_Eve","EVENT"
"27","text1",13,"New_Year_'s_Day","EVENT"
"28","text1",13,"the_Empire_State_Plaza","FAC"
"29","text1",13,"State","ORG"
"30","text1",13,"Capitol","PRODUCT"
"31","text1",14,"today","DATE"
"32","text1",15,"Cuomo","PERSON"
"33","text1",15,"Convention_Center","FAC"
"34","text1",16,"Cuomo","PERSON"
"35","text1",16,"a_few_days","DATE"
"36","text1",18,"tonight","TIME"
"37","text1",18,"five","CARDINAL"
"38","text1",18,"Iowa","GPE"
"39","text1",18,"the_next_several_months","DATE"
"40","text1",19,"Iowa","GPE"
"41","text1",19,"first","ORDINAL"
"42","text1",20,"Cuomo","PERSON"
"43","text1",20,"California","GPE"
"44","text1",20,"Florida","GPE"
"45","text1",20,"Louisiana","GPE"
"46","text1",20,"North_Carolina","GPE"
"47","text1",20,"Martin_Steadman","PERSON"
"48","text10",2,"Chinese","NORP"
"49","text10",3,"Communist","NORP"
"50","text10",4,"Chinese","NORP"
"51","text10",5,"Communist","NORP"
"52","text10",6,"Chinese","NORP"
"53","text10",7,"the_Communist_Party","ORG"
"54","text10",7,"New_Year_'s","EVENT"
"55","text10",7,"Thursday","DATE"
"56","text10",7,"Beijing","GPE"
"57","text10",7,"the_Democracy_Wall","ORG"
"58","text10",7,"1979","DATE"
"59","text10",7,"China","GPE"
"60","text10",8,"China","GPE"
"61","text10",8,"13th","ORDINAL"
"62","text10",8,"Communist_Party_Congress","ORG"
"63","text10",8,"October","DATE"
"64","text10",9,"congress","ORG"
"65","text10",9,"Chinese","NORP"
"66","text10",10,"The_Prominent_Critics","ORG"
"67","text10",11,"China","GPE"
"68","text10",11,"Communist_Party","ORG"
"69","text10",11,"Deng_Xiaoping","PERSON"
"70","text10",12,"recent_days","DATE"
"71","text10",13,"Chinese","NORP"
"72","text10",14,"Sunday","DATE"
"73","text10",14,"China","GPE"
"74","text10",14,"Communism","NORP"
"75","text10",15,"West","LOC"
"76","text10",15,"the_Communist_Party","ORG"
"77","text10",17,"The_Chinese_Communist_Party","ORG"
"78","text10",18,"Wang_Zhen","PERSON"
"79","text10",18,"Politburo","ORG"
"80","text10",18,"People_'s_Daily","ORG"
"81","text10",19,"the_Communist_Party","ORG"
"82","text10",19,"Wang","PERSON"
"83","text10",19,"half_a_century","DATE"
"84","text10",20,"Wang","PERSON"
"85","text10",20,"the_Cultural_Revolution","EVENT"
"86","text10",20,"the_last_year","DATE"
"87","text10",22,"Deng","PERSON"
"88","text10",22,"Wang","PERSON"
"89","text10",22,"Hu_Qiaomu","PERSON"
"90","text10",22,"the_Central_Committee","ORG"
"91","text10",22,"Mao","PERSON"
"92","text10",22,"Peng_Zhen","PERSON"
"93","text10",22,"Politburo","ORG"
"94","text10",22,"Chen_Yun","PERSON"
"95","text10",22,"Politburo","ORG"
"96","text10",23,"Deng","PERSON"
"97","text10",24,"the_last_six_months","DATE"
"98","text10",28,"Today","DATE"
"99","text10",28,"People_'s_Daily","ORG"
"100","text10",28,"the_past_few_years","DATE"
"101","text10",30,"congress","ORG"
"102","text10",30,"stiffen_party","ORG"
"103","text10",30,"Deng","PERSON"
"104","text10",31,"Deng","PERSON"
"105","text10",32,"Deng","PERSON"
"106","text10",33,"democrat","NORP"
"107","text10",33,"Deng","PERSON"
"108","text10",34,"1979","DATE"
"109","text10",34,"first","ORDINAL"
"110","text10",34,"Deng","PERSON"
"111","text10",35,"Deng","PERSON"
"112","text10",36,"Deng","PERSON"
"113","text100",2,"British","NORP"
