"";"rownames.mat."
"1";"New_Year_'s_Day"
"2";"New_Year_'s_Eve"
"3";"Superfund"
"4";"New_Year_'s"
"5";"the_Cultural_Revolution"
"6";"the_Super_Bowl"
"7";"the_cold_war"
"8";"Iran_-_contra"
"9";"World_War_II"
"10";"Summer_Olympic_Games"
"11";"the_Year_of_the_Rabbit"
"12";"Watergate"
"13";"Chinese_New_Year"
"14";"the_Chinese_New_Year"
"15";"The_Chinese_Year"
"16";"the_New_Year"
"17";"the_Year_of_the_Tiger"
"18";"a_Cultural_Revolution"
"19";"the_Cultural_Revolution_-_they"
"20";"Independence_Day"
"21";"Red_Sunday"
"22";"the_Bolshevik_revolution"
"23";"the_Bolshevik_Revolution"
"24";"the_Vietnam_War"
"25";"World_War_I"
"26";"the_1974_revolution"
"27";"the_Russian_revolution"
"28";"a_New_Coalition"
"29";"Democratic_National_Convention"
"30";"the_October_revolution"
"31";"the_October_Revolution"
"32";"the_Afghan_war"
"33";"the_Geneva_talks"
"34";"New_Spring_Obsession"
"35";"the_American_Revolution"
"36";"Congress_of_the_Communist_Party"
"37";"the_Lebanon_war"
"38";"Olympics"
"39";"Summer_Olympics"
"40";"the_Summer_Olympic_Games"
"41";"the_1967_Arusha_Declaration"
"42";"the_Summer_Olympics"
"43";"the_Olympic_Games"
"44";"Revolution"
"45";"Air_Transport_Infantry_Regiment"
"46";"the_1969_revolution"
"47";"the_April_Revolution"
"48";"the_Tokyo_international_airport"
"49";"the_1917_revolution"
"50";"the_Russian_Revolution"
"51";"the_Canadian_Constitution"
"52";"the_1988_Seoul_Olympics"
"53";"the_Berlin_Olympics"
"54";"Civil_War_Called_Unlikely_He"
"55";"Republican_National_Convention"
"56";"Depression"
"57";"Constitution"
"58";"national_congress_of_the_party"
"59";"the_1967_World_'s_Fair"
"60";"the_1976_Olympic_Games"
"61";"Olympic_Games"
"62";"The_Olympics_Games"
"63";"National_Congress"
"64";"the_Cultural_Revolution_of_1966_to_1976"
"65";"the_Nuremberg_war_crimes_trials"
"66";"the_Seoul_Olympics"
"67";"the_Korean_War"
"68";"the_1988_Olympic_Games"
"69";"the_Mon_revolution"
"70";"New_Year"
"71";"the_'_88_Olympics"
"72";"New_Year_'s_Eve_1983"
"73";"the_Haitian_Constitution"
"74";"Hugo"
"75";"Cannes_Film_Festival"
"76";"Cultural_Revolution"
"77";"Vietnam_War"
"78";"the_1967_Mideast_war"
"79";"post_-_World_War_II_Government"
"80";"the_Bastille_Day_Parade"
"81";"the_Sandinista_revolution"
"82";"the_Cuban_revolution"
"83";"the_Crimean_Tatars"
"84";"the_Great_Depression"
"85";"the_Communist_New_People_'s_Army"
"86";"the_Black_Cat"
"87";"the_Black_Cat_Bar"
"88";"the_Green_Revolution"
"89";"Iran_-_Contra"
"90";"Super_Bowl"
"91";"the_Park_years"
"92";"A_New_Forum"
"93";"the_Past_Tense_'_'_'"
"94";"the_International_Conference_on_Children_,_Repression"
"95";"the_Mexican_Revolution"
"96";"Russian_Christmas"
"97";"Hyfin"
"98";"the_Festival_of_Lights"
"99";"the_Revolution"
"100";"party_congress"
"101";"Legislative_District"
"102";"Long_March"
"103";"The_Bolshevik_Revolution"
"104";"the_Civil_War"
"105";"Party_Congress"
"106";"post_-_Revolution"
"107";"The_Civil_War"
"108";"the_cultural_revolution"
"109";"The_February_Revolution"
"110";"the_great_October_Revolution"
"111";"the_great_revolution"
"112";"the_Manchurian_Incident"
