"";"rownames.mat."
"1";"Cuomo"
"2";"Martin_Steadman"
"3";"Sol_Wachtler"
"4";"Stan_Lundine"
"5";"Abrams"
"6";"Andrew_P._O'Rourke"
"7";"Beethoven"
"8";"Edward_V._Regan"
"9";"Franklin_D._Roosevelt"
"10";"Koch"
"11";"Lady"
"12";"Lift"
"13";"Lundine"
"14";"Mario_Matthew_Cuomo"
"15";"O'Rourke"
"16";"Reagan"
"17";"Regan"
"18";"Robert_Abrams"
"19";"Walt_Whitman_'s"
"20";"Whitman"
"21";"William_Kennedy"
"22";"Alfonse_M._D'Amato"
"23";"Alfred_Del_Bello"
"24";"Burgos"
"25";"Daniel_Patrick_Moynihan"
"26";"Ed_Koch"
"27";"Freihofer"
"28";"Garen_Gdanian"
"29";"Hugh_L._Carey"
"30";"Larry"
"31";"Larry_Stone"
"32";"Mark_Lundine"
"33";"Michael_McCartin"
"34";"Neil_Diamond"
"35";"Ruth_Lundine"
"36";"Saul"
"37";"Stan"
"38";"Sylvia_Weprin"
"39";"Thee"
"40";"Tonio_Burgos"
"41";"Warren_M._Anderson"
"42";"Alfred_B._Del_Bello"
"43";"Carter"
"44";"Downey"
"45";"Fritz_W._Alexander"
"46";"Sara"
"47";"Thomas_J._Downey"
"48";"Costikyan"
"49";"Edward_N._Costikyan_'s"
"50";"FRANKLIN_J._HAVLICEK"
"51";"Chinh"
"52";"Dao_Duy_Tung"
"53";"Doan_Khue"
"54";"Dong_Si_Nguyen"
"55";"Huu"
"56";"Le_Duc_Tho"
"57";"Mai_Chi_Tho"
"58";"Muoi"
"59";"Nguyen_Co_Thach"
"60";"Nguyen_Duc_Tam"
"61";"Nguyen_Thanh_Binh"
"62";"Nguyen_Van_Linh"
"63";"Pham_Hung"
"64";"Pham_Van_Dong"
"65";"To_Huu"
"66";"Tran_Xuan_Bach"
"67";"Truong_Chinh"
"68";"Van_Tien_Dong"
"69";"Vo_Chi_Cong"
"70";"Vo_Van_Kiet"
"71";"Bob"
"72";"Franklin_Roosevelt"
"73";"John_XXIII"
"74";"Lady_Liberty"
"75";"Ned"
"76";"Rabbi_Hillel"
"77";"Stanley_Fink"
"78";"Friedhelm_Ost"
"79";"Gunter_Verheugen"
"80";"Helmut_Kohl"
"81";"Kohl"
"82";"Chen_Yun"
"83";"Deng"
"84";"Deng_Xiaoping"
"85";"Hu_Qiaomu"
"86";"Mao"
"87";"Peng_Zhen"
"88";"Wang"
"89";"Wang_Zhen"
"90";"Andrew_J._Stein"
"91";"Edward_N._Costikyan"
"92";"Howard_Golden"
"93";"Pat"
"94";"Robert_F._Wagner"
"95";"Robert_F._Wagner_Jr."
"96";"Abraham_D._Beame"
"97";"Alex_Liberman"
"98";"Ameruso"
"99";"Anthony_R._Ameruso"
"100";"Beame"
"101";"Bernard_Sandow"
"102";"Boss_Tweed_'s"
"103";"Burnett"
"104";"Carl_A._Capasso"
"105";"Donald_R._Manes"
